PC+1->PC	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0
PC->MAR	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0
RAM->MDR	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0
MDR->IR	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
JP	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
QJP	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
MDR->Ri	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MDR->MAR	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
Ri->MDR	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0
HALT	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
XJP+PC->PC	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0
Ri+Rj->Rj	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0
MDR+PC->PC	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0
Ri+1->Ri	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
MDR->RAM	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
